learning_rate,epsilon,weight_decay,F1 Macro
0.01,1e-06,0,"0,8821825797502528"
0.01,1e-06,0.1,"0,6267976260579354"
0.01,1e-06,0.01,"0,8093423427993427"
0.01,1e-07,0,"0,8382491240012827"
0.01,1e-07,0.1,"0,6024408542451044"
0.01,1e-07,0.01,"0,7791005115483295"
0.01,1e-08,0,"0,8332358895698488"
0.01,1e-08,0.1,"0,610047795341913"
0.01,1e-08,0.01,"0,6871857820168495"
0.01,1e-09,0,"0,7338549285754254"
0.01,1e-09,0.1,"0,6258258769094682"
0.01,1e-09,0.01,"0,7557318972404362"
0.01,1e-10,0,"0,7447180581948746"
0.01,1e-10,0.1,"0,6258258769094682"
0.01,1e-10,0.01,"0,7174640423545304"
0.001,1e-06,0,"0,8956301470866954"
0.001,1e-06,0.1,"0,6974405186650083"
0.001,1e-06,0.01,"0,8324382384532761"
0.001,1e-07,0,"0,909924776941966"
0.001,1e-07,0.1,"0,6974405186650083"
0.001,1e-07,0.01,"0,8212691196429612"
0.001,1e-08,0,"0,9218502427804752"
0.001,1e-08,0.1,"0,6974405186650083"
0.001,1e-08,0.01,"0,834826823426229"
0.001,1e-09,0,"0,8844902465955098"
0.001,1e-09,0.1,"0,6974405186650083"
0.001,1e-09,0.01,"0,8212691196429612"
0.001,1e-10,0,"0,9218502427804752"
0.001,1e-10,0.1,"0,6974405186650083"
0.001,1e-10,0.01,"0,834826823426229"
0.0001,1e-06,0,"0,3823728130105581"
0.0001,1e-06,0.1,"0,34607297464440323"
0.0001,1e-06,0.01,"0,3940300686031236"
0.0001,1e-07,0,"0,3823728130105581"
0.0001,1e-07,0.1,"0,34607297464440323"
0.0001,1e-07,0.01,"0,3940300686031236"
0.0001,1e-08,0,"0,3823728130105581"
0.0001,1e-08,0.1,"0,34607297464440323"
0.0001,1e-08,0.01,"0,3940300686031236"
0.0001,1e-09,0,"0,3823728130105581"
0.0001,1e-09,0.1,"0,34607297464440323"
0.0001,1e-09,0.01,"0,3940300686031236"
0.0001,1e-10,0,"0,3823728130105581"
0.0001,1e-10,0.1,"0,34607297464440323"
0.0001,1e-10,0.01,"0,3940300686031236"
1e-05,1e-06,0,"0,0824561403508772"
1e-05,1e-06,0.1,"0,07614816261432802"
1e-05,1e-06,0.01,"0,0824561403508772"
1e-05,1e-07,0,"0,0824561403508772"
1e-05,1e-07,0.1,"0,07614816261432802"
1e-05,1e-07,0.01,"0,0824561403508772"
1e-05,1e-08,0,"0,0824561403508772"
1e-05,1e-08,0.1,"0,07614816261432802"
1e-05,1e-08,0.01,"0,0824561403508772"
1e-05,1e-09,0,"0,0824561403508772"
1e-05,1e-09,0.1,"0,07614816261432802"
1e-05,1e-09,0.01,"0,0824561403508772"
1e-05,1e-10,0,"0,0824561403508772"
1e-05,1e-10,0.1,"0,07614816261432802"
1e-05,1e-10,0.01,"0,0824561403508772"
